query_id,query_text,category,difficulty_label,reference_answer,small_model_answer,large_model_answer,small_model_correct,large_model_correct,routing_label
q0001,What is the chemical symbol for gold?,general_knowledge,easy,Au,,,,,
q0002,"Who wrote the play ""Romeo and Juliet""?",general_knowledge,easy,William Shakespeare,,,,,
q0003,What is the largest planet in our solar system?,general_knowledge,easy,Jupiter,,,,,
q0004,How many continents are there on Earth?,general_knowledge,easy,Seven,,,,,
q0005,What is the tallest mountain in the world?,general_knowledge,easy,Mount Everest,,,,,
q0006,What is the currency of Japan?,general_knowledge,easy,The yen,,,,,
q0007,Who painted the Mona Lisa?,general_knowledge,easy,Leonardo da Vinci,,,,,
q0008,What is the freezing point of water in Celsius?,general_knowledge,easy,0 degrees Celsius,,,,,
q0009,What is the smallest prime number?,general_knowledge,easy,2,,,,,
q0010,What gas do plants absorb from the atmosphere for photosynthesis?,general_knowledge,easy,Carbon dioxide,,,,,
q0011,What is the capital of Australia?,general_knowledge,easy,Canberra,,,,,
q0012,How many strings does a standard violin have?,general_knowledge,easy,Four,,,,,
q0013,What is the hardest natural substance on Earth?,general_knowledge,easy,Diamond,,,,,
q0014,Who was the first President of the United States?,general_knowledge,easy,George Washington,,,,,
q0015,What is the largest ocean on Earth?,general_knowledge,easy,The Pacific Ocean,,,,,
q0016,What is the capital of France?,geography,easy,Paris,,,,,
q0017,What is the longest river in the world?,geography,easy,The Nile River (by most measurements),,,,,
q0018,Which country has the largest population in the world?,geography,easy,"India (as of recent estimates, having surpassed China)",,,,,
q0019,What is the smallest country in the world by area?,geography,easy,Vatican City,,,,,
q0020,Which desert is the largest hot desert in the world?,geography,easy,The Sahara Desert,,,,,
q0021,What is the capital of Canada?,geography,easy,Ottawa,,,,,
q0022,Which mountain range separates Europe and Asia?,geography,easy,The Ural Mountains,,,,,
q0023,What is the capital of Egypt?,geography,easy,Cairo,,,,,
q0024,"Which US state is known as the ""Sunshine State""?",geography,easy,Florida,,,,,
q0025,What is the capital of Brazil?,geography,easy,Brasilia,,,,,
q0026,Which African country was formerly known as Abyssinia?,geography,easy,Ethiopia,,,,,
q0027,What is the capital of South Korea?,geography,easy,Seoul,,,,,
q0028,Which sea lies between Europe and Africa?,geography,easy,The Mediterranean Sea,,,,,
